Question ,Answer
What is Universal Account Number or UAN,UAN is 12-digit number provided to each member of EPFO. The UAN acts as an umbrella for the multiple Member IDs allotted to an individual. This number acts as a pivot to link multiple Member Identification Numbers (Member Id) allotted to a single member under single Universal Account Number. UAN duly seeded with KYC detail. This enables the member to avail various online services directly without the need for any intermediation by the employer.
What is KYC,"Know Your Customer or KYC is a one-time process which helps in identity verification of subscribers by linking UAN with KYC details. The Employees / Employers need to provide KYC details viz., Aadhaar, PAN, Bank etc., for unique identification of the employees enabling seamless online services."
How can the employer generate UAN for newly joined employees not having UAN,"The employer has to login to EPF employer portal using the User ID and password and follow the below given steps: [ Link: https://unifiedportal-emp.epfindia.gov.in/epfo/ ] o Go to “Member” section. o Click on the “Register Individual”. Check the previous employment as “NO”. o Enter the employee’s details and KYC details such as PAN, Aadhaar, Bank details, etc. o Approve all details in the “Approval” section. o A new UAN is generated by EPFO and the employer can link the PF account with UAN of the employee."
How can an employee generate his UAN on his own,An employee can generate his UAN by visiting the unified member portal https://unifiedportal-mem.epfindia.gov.in/memberinterface/noauth/citizenRegistration/viewRegistraton? and clicking on “Direct UAN Allotment by Employees”. A valid Aadhaar number with registered mobile is pre-requisite to avail this facility. Employee has to provide employment details to obtain UAN.
How can a member know his UAN,"o Visit unified member portal. o Enter mobile number as per EPFO records. o Click on the “Get Authorization Pin” option. o A Pin will be sent to your mobile number registered with EPFO and enter the Pin. o Enter the details such as name, Date of Birth as per EPFO records and select any one of Aadhaar, PAN, Member Id and furnish the details then click “Show my UAN”."
How can a member activate his UAN,"o Visit EPF Member Portal and click on “Activate UAN” OR UAN Activation under Employee Centric Services of EPFO on UMANG APP o Select any one of the following – UAN, Member ID, Aadhaar or PAN. o Fill additional details such as Name, Date of Birth, Mobile Number and Email ID and click on “Get Authorization PIN” o An authorization PIN will be sent to the mobile number registered with EPFO o Enter this PIN and click on “Validate OTP and Activate UAN” o UAN will be activated and password will be sent to member’s mobile. Now the member can log in to unified member portal using his UAN and password."
Can one mobile number be linked with multiple UANs,One mobile number can be used for registration with one UAN only.
. How to activate UAN via offline mode,No. UAN registration and activation is done only online
Can contractual employees register their UAN and avail online facilities,"Both contractual, as well as direct employees, can avail UAN facilities online after registration and activation."
In which format I should create my UAN password,"The password should be alphanumeric, have minimum 1 Special Character and 8 - 25 character long. Special characters are: ! @ # $ % ^ & * ( ) Sample Password : abc@1973"
